name,group,kcal
Яйце куряче,П,153
Тунець,П,95
Курка,П,161
Гречка варена,К,110
Рис варений,К,116
Картопля варена,К,80
Огірок,О,15
Помідор,О,19
Молоко 2.5%,М,53
Йогурт 1.5%,М,65
Яблуко,Ф,48
Банан,Ф,87
Оливкова олія,Ж,898
Кешью,О,647
